Mass,RT,SXT-col-12h+13c6-phe-1,SXT-col-12h+13c6-phe-2,SXT-col-12h+13c6-phe-3,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3
616.1729,3.96,1802451.195,1902413.238,1850847.774,31969.16339,14405.59441,14578.94293
134.0219,1.06,2943783.175,3584287.757,4038174.003,1593237.042,1810488.048,1703141.955
726.2155,5.83,1074388.716,1349919.827,1200632.268,1385365.702,1476388.342,1392953.658
493.1111,6.06,2909517.668,3228441.753,3358155.036,2495353.024,2874003.343,2731642.854
866.4703,13.82,2058.123603,1,26920.10017,1,1,1
278.224,14.94,8791.839158,12021.82533,8684143.495,797077.1168,1,1
914.4678,13.23,3196287.134,4315583.9,5789294.848,3813974.96,2110894.558,4275758.315
930.4061,4.39,1724488.193,1850902.175,2625229.286,7284032.658,4840731.229,6124298.484
479.0964,2.41,1060124.112,1306761.398,1379149.715,1211631.386,905022.8075,1169411.849
464.0562,2.09,918875.4192,832443.1948,1045008.387,1477933.001,1685129.442,1749336.16
514.2297,13.4,5404726.062,9547810.678,9815443.939,6183313.224,3966675.027,7507038.141
275.0792,6.55,1893906.322,2845285.981,2848149.542,4934377.885,4338343.188,4666957.598
714.48,5.28,5416492.287,5372151.911,5147030.384,7074967.404,6782014.098,6955430.59
496.2793,13.65,17154.22559,1,1,52612.55757,17857.70551,39786.65838
480.1132,4.42,268238.2857,479126.8608,609008.3113,257974.095,369645.6433,26600.94488
1063.7611,5.95,3541320.674,2903510.955,2045700.356,5854171.436,5603848.312,5733472.184
450.2643,14.91,1,1,1,1,1,1
600.1779,4.3,1208699.474,1287256.988,1189823.721,1,1,1
484.2791,14.64,4474401.847,5288704.124,4301479.658,1,1,1
823.5357,18.12,7340588.523,7237337.463,6734806.035,4835384.885,2420407.806,3480851.048
746.2364,3.64,1357475.076,1375352.203,1480639.883,1,124163.9306,114959.069
552.184,6.79,4194222.048,4201036.357,3184911.442,3805372.113,3415913.874,4286175.245
896.5169,15.13,5019073.756,6666576.886,1,1,1,1
342.1118,8.18,578433.7966,859377.2481,838685.2823,4386449.57,3979229.25,4180837.795
756.2119,3.4,2693454.09,3389592.71,3793376.478,5589183.424,5343724.94,5454005.48
134.0219,1.2,2156434.354,2931812.704,2472196.769,1392455.466,1278396.212,1362196.769
484.28,14.38,1,1,1,1,5365615.207,8525604.687
152.0568,3.35,2751015.361,2892284.537,3022856.292,1,1,1
131.0584,1.33,1758848.742,2440941.082,741793.9363,1339753.835,1994984.877,1683609.77
827.5645,5.54,4441605.569,4452563.004,4128388.486,5572866.996,5469641.656,5535922.531
421.0536,2.7,59496.66647,5098.796461,157289.6232,195765.2459,53407.33018,129672.4656
741.4995,5.27,4218626.167,4356120.597,4253340.846,3922403.389,3793684.105,3762558.726
870.4991,14.24,19412.24284,26678.76113,1,10575.25387,1,1
272.2347,15.2,1052726.604,988247.5612,1040631.21,1018614.844,747043.2809,924035.8193
450.2748,21.25,153491.5299,6241.931576,88871.72938,1296027.818,3840972.321,2585941.934
490.2298,14.06,1,1,1,2104230.335,2819368.466,1763118.408
342.1313,2.94,330192.6671,374709.5884,429389.055,760883.178,777566.7015,786598.002
420.2276,12.69,623097.4042,720626.634,1164819.952,1535023.718,3043878.168,2382627.24
872.5372,16.35,1,1,1,1,1,1
504.2795,12.07,1,1,1,1,1,1
363.0119,12.53,230563.2227,467227.3513,553003.6333,4597844.06,2155633.129,3398892.273
323.1002,4.18,556252.4698,645552.0174,448954.6693,1152491.546,1443212.159,1320604.433
825.5515,19.48,6289126.328,8598920.107,7662430.563,5508905.293,2841196.46,3733175.816
